claimant_name,aadhar_number,phone_number,spouse_name,father_mother_Name,address,village,gram_panchayat,tehsil,district,ST_OTFD_Status,family_members_names,family_members_ages,habitation_area,cultivation_area,disputed_lands,patta_lease_grants,rehabilitation_land,displacement_details,forest_village_extent,other_traditional_rights,age_of_claimant,gender,marital_status,household_members,elderly_count_60plus,disability_in_household,primary_livelihood,annual_income,cultivable_land_ownership,house_type,electricity_connection,water_source,toilet_available,school_going_children,highest_education_level,shg_membership
Ravi Bhil,2.49E+11,9836001577,Ravi Singh,Vikas Bai,"House 125, Baiga Chak",Sheopur Pada,GP Niwas,Pali,Mandla,ST,Suresh Kumar,1,0.3,0.13,No,No,No,No,Yes,No,43,Male,Separated,8,2,No,Agriculture,24944,No,Semi-Pucca,Yes,Stream,No,No,Primary,Yes
Anita Bai,7.77E+11,8446926230,Pooja Singh,Pooja Gaikwad,"House 2, Gondwadi",Sheopur Pada,GP Niwas,Pali,Anuppur,ST,Pooja Nayak,12,0.2,0.55,Yes,No,Yes,Yes,No,No,55,Male,Married,2,1,No,Agriculture,136630,Yes,Kutcha,Yes,Handpump,No,Yes,Upper Primary,Yes
Pooja Das,6.72E+11,7470737715,Arjun Yadav,Vikas Kumar,"House 200, Korku Pada",Dindori Gaon,GP Pushparajgarh,Sendhwa,Jhabua,ST,Pooja Verma,50,0.63,3.41,No,Yes,No,No,Yes,Yes,45,Female,Separated,4,2,Yes,NTFP,114114,No,Pucca,No,None,Yes,Yes,Secondary,Yes
Lakshmi Sahu,4.40E+11,8292404325,Suresh Yadav,Mahesh Bhil,"House 138, Baiga Chak",Sheopur Pada,GP Bajag,Sendhwa,Anuppur,ST,Sunita Bai,53,0.49,1.25,No,No,Yes,No,No,No,87,Other,Widowed,6,1,Yes,NTFP,65983,No,Semi-Pucca,No,Stream,Yes,No,Secondary,No
Amit Kumar,8.72E+11,7943191374,Neha Gaikwad,Vikas Rathore,"House 203, Barwani Tola",Barwani Tola,GP Jobat,Bajag,Dindori,OTFD,Arjun Das,60,0.67,1.34,No,Yes,No,No,No,No,18,Female,Married,4,2,No,Agriculture,44808,Yes,Semi-Pucca,Yes,Tap,No,No,Higher Secondary,No
Mahesh Naidu,4.11E+11,6015052399,Sunita Sahu,Neha Verma,"House 282, Bhilapur",Bhilapur,GP Ghughri,Niwas,Mandla,ST,Ramesh Gaikwad,55,0.12,2.65,No,No,Yes,No,Yes,No,83,Female,Single,2,1,Yes,Other,61730,Yes,Pucca,No,Stream,No,No,Primary,Yes
Suresh Sahu,7.36E+11,6118668903,Arjun Singh,Meena Sahu,"House 30, Sheopur Pada",Mandla Pur,GP Niwas,Jobat,Alirajpur,ST,Mahesh Gond,35,0.14,2.37,Yes,Yes,Yes,Yes,Yes,No,59,Male,Single,2,2,No,Other,88709,No,Semi-Pucca,No,Stream,No,No,Primary,No
Mahesh Bhil,3.80E+11,6213890575,Arjun Naidu,Sunita Bai,"House 56, Mandla Pur",Mandla Pur,GP Pushparajgarh,Ghughri,Jhabua,ST,Arjun Gond,61,0.37,0.33,No,Yes,Yes,No,Yes,No,25,Female,Widowed,2,0,Yes,Other,87944,Yes,Semi-Pucca,Yes,Handpump,No,No,Graduation,Yes
Anita Kumar,6.55E+11,9538368095,Lakshmi Verma,Ramesh Gaikwad,"House 119, Baiga Chak",Bhilapur,GP Niwas,Pali,Jhabua,ST,Vikas Rathore,26,0.27,3.06,Yes,Yes,No,No,No,No,67,Male,Single,2,0,Yes,Other,74399,Yes,Pucca,No,Stream,No,No,Upper Primary,No
Meena Gond,1.84E+11,6775787812,Sunita Yadav,Arjun Sahu,"House 132, Sheopur Pada",Mandla Pur,GP Bajag,Pati,Mandla,ST,Ravi Yadav,31,0.62,2.47,Yes,Yes,Yes,Yes,No,No,27,Male,Separated,7,0,Yes,Wage Labour,74359,Yes,Pucca,No,Tap,No,No,Upper Primary,No
Neha Gaikwad,2.06E+11,6856685713,Kavita Verma,Amit Sahu,"House 231, Mandla Pur",Dindori Gaon,GP Niwas,Pati,Jhabua,ST,Lakshmi Verma,57,0.37,3.42,No,No,Yes,Yes,Yes,No,69,Other,Married,9,1,No,Other,59051,No,Kutcha,No,Tap,Yes,Yes,Upper Primary,No
Kavita Gaikwad,2.05E+11,8781024659,Kavita Gaikwad,Suresh Bai,"House 152, Sheopur Pada",Barwani Tola,GP Ghughri,Niwas,Sheopur,OTFD,Ramesh Gond,12,0.69,2.14,No,Yes,No,Yes,Yes,Yes,28,Female,Single,9,1,Yes,NTFP,107868,Yes,Semi-Pucca,Yes,Tap,Yes,Yes,Graduation,Yes
Lakshmi Kumar,3.29E+11,6261002029,Vikas Singh,Sunita Naidu,"House 21, Barwani Tola",Gondwadi,GP Bajag,Ghughri,Mandla,ST,Arjun Verma,5,0.77,1.66,Yes,Yes,No,Yes,Yes,No,21,Female,Single,6,1,No,Wage Labour,35724,Yes,Pucca,No,None,Yes,No,Graduation,No
Sunita Nayak,8.03E+11,6585686017,Arjun Biswas,Neha Nayak,"House 68, Mandla Pur",Jhabua Kheda,GP Niwas,Sendhwa,Mandla,ST,Ravi Bai,7,0.2,1.49,Yes,Yes,Yes,No,No,No,47,Other,Single,3,1,No,Other,42424,Yes,Semi-Pucca,No,Handpump,Yes,Yes,Graduation,No
Ravi Das,1.56E+11,7018543222,Neha Rathore,Anita Bhil,"House 126, Jhabua Kheda",Gondwadi,GP Bajag,Pali,Umaria,ST,Mahesh Biswas,16,0.92,0.02,No,No,Yes,No,No,Yes,54,Female,Single,7,2,No,NTFP,145251,Yes,Semi-Pucca,Yes,Stream,Yes,Yes,None,No
Neha Singh,5.72E+11,8531371862,Ramesh Gond,Ravi Naidu,"House 43, Korku Pada",Jhabua Kheda,GP Pati,Pati,Umaria,ST,Ramesh Yadav,52,0.79,0.16,No,Yes,No,No,No,Yes,34,Other,Married,8,1,No,Wage Labour,126848,Yes,Semi-Pucca,No,Handpump,Yes,Yes,Graduation,Yes
Lakshmi Bhil,3.31E+11,7830086237,Ravi Gaikwad,Ramesh Singh,"House 182, Jhabua Kheda",Sheopur Pada,GP Niwas,Pali,Umaria,ST,Sunita Nayak,81,0.63,0.52,Yes,Yes,Yes,No,No,Yes,26,Female,Married,9,0,Yes,Other,87712,Yes,Kutcha,Yes,Tap,Yes,No,Upper Primary,No
Lakshmi Gond,6.34E+11,8438515902,Pooja Rathore,Lakshmi Singh,"House 100, Dindori Gaon",Korku Pada,GP Pushparajgarh,Ghughri,Alirajpur,ST,Pooja Gaikwad,21,0.91,3.72,No,Yes,No,Yes,No,Yes,23,Female,Married,4,1,No,NTFP,29316,Yes,Pucca,Yes,Handpump,Yes,No,Upper Primary,No
Mahesh Rathore,6.62E+11,9137758210,Pooja Yadav,Amit Gond,"House 240, Mandla Pur",Barwani Tola,GP Jobat,Pati,Dindori,ST,Ramesh Rathore,27,0.27,3.52,Yes,No,No,No,No,No,86,Male,Married,5,1,Yes,Other,22848,Yes,Kutcha,Yes,Tap,Yes,Yes,Primary,No
Arjun Nayak,8.25E+11,8681500668,Sunita Yadav,Kavita Bhil,"House 200, Bhilapur",Gondwadi,GP Pati,Ghughri,Alirajpur,ST,Pooja Kumar,79,0.43,1.99,No,No,Yes,Yes,Yes,No,66,Other,Single,1,2,Yes,Wage Labour,149266,Yes,Kutcha,No,Stream,No,No,Primary,Yes
Amit Kumar,2.06E+11,9794116070,Lakshmi Bhil,Meena Das,"House 116, Sheopur Pada",Barwani Tola,GP Pushparajgarh,Niwas,Sheopur,ST,Arjun Sahu,23,0.09,0.72,No,No,No,Yes,Yes,No,18,Female,Single,5,1,No,NTFP,104150,Yes,Kutcha,Yes,Handpump,No,No,Higher Secondary,Yes
Amit Rathore,5.99E+11,7020575342,Lakshmi Singh,Kavita Verma,"House 115, Sheopur Pada",Mandla Pur,GP Niwas,Pali,Sheopur,ST,Kavita Singh,72,0.46,0.58,Yes,No,No,No,No,Yes,35,Female,Single,7,1,No,Agriculture,78800,No,Kutcha,Yes,Stream,No,No,Primary,No
Mahesh Bai,6.82E+11,8161530112,Anita Kumar,Suresh Das,"House 142, Baiga Chak",Bhilapur,GP Pushparajgarh,Bajag,Umaria,ST,Anita Gaikwad,25,0.51,1.02,Yes,No,Yes,No,No,Yes,31,Other,Widowed,2,0,No,Agriculture,95219,Yes,Pucca,Yes,Stream,No,No,Graduation,Yes
Meena Sahu,2.04E+11,6487918440,Suresh Singh,Ravi Rathore,"House 119, Korku Pada",Alirajpur Falia,GP Bajag,Niwas,Barwani,ST,Ramesh Rathore,11,0.62,3.63,Yes,Yes,Yes,No,No,No,29,Male,Single,5,0,No,Agriculture,140319,Yes,Semi-Pucca,No,Stream,Yes,Yes,Primary,Yes
Ramesh Gaikwad,3.88E+11,9978059285,Mahesh Kumar,Vikas Verma,"House 93, Bhilapur",Barwani Tola,GP Bajag,Ghughri,Barwani,ST,Meena Verma,63,0.07,2.09,Yes,Yes,No,No,No,Yes,85,Female,Widowed,9,0,No,Agriculture,86608,No,Pucca,Yes,Stream,No,No,Secondary,No
Sunita Biswas,9.06E+11,9728669148,Sunita Singh,Mahesh Sahu,"House 9, Alirajpur Falia",Gondwadi,GP Pushparajgarh,Jobat,Sheopur,ST,Lakshmi Bai,57,0.04,3.22,Yes,No,No,No,No,No,89,Female,Separated,3,0,No,Other,100775,Yes,Semi-Pucca,Yes,Stream,No,No,Upper Primary,No
Arjun Sahu,2.34E+11,9500431757,Lakshmi Bai,Vikas Bai,"House 73, Baiga Chak",Jhabua Kheda,GP Pushparajgarh,Ghughri,Sheopur,ST,Kavita Verma,85,0.43,2.03,Yes,No,No,No,No,Yes,87,Female,Single,2,2,Yes,Agriculture,100061,No,Kutcha,Yes,None,No,No,None,No
Meena Nayak,5.11E+11,6554440175,Suresh Rathore,Lakshmi Bai,"House 26, Barwani Tola",Baiga Chak,GP Ghughri,Bajag,Sheopur,ST,Mahesh Singh,54,0.2,2.44,No,Yes,Yes,Yes,Yes,No,77,Male,Widowed,5,0,Yes,Agriculture,54003,No,Semi-Pucca,Yes,Handpump,No,Yes,Secondary,Yes
Mahesh Biswas,7.05E+11,7388089563,Arjun Gaikwad,Ramesh Das,"House 239, Sheopur Pada",Dindori Gaon,GP Bajag,Pali,Umaria,ST,Pooja Nayak,10,0.76,2.44,No,No,Yes,No,No,No,82,Male,Single,9,2,No,Wage Labour,122078,Yes,Semi-Pucca,Yes,Tap,No,Yes,Upper Primary,No
Suresh Kumar,4.34E+11,8718422996,Arjun Kumar,Kavita Kumar,"House 145, Dindori Gaon",Dindori Gaon,GP Pushparajgarh,Pati,Jhabua,ST,Mahesh Naidu,50,0.67,0.13,No,Yes,No,No,Yes,Yes,70,Other,Widowed,4,2,Yes,NTFP,47971,No,Kutcha,No,None,No,No,Primary,Yes
Ravi Verma,7.24E+11,9092712159,Vikas Gaikwad,Suresh Rathore,"House 68, Baiga Chak",Bhilapur,GP Pushparajgarh,Pali,Umaria,OTFD,Meena Singh,73,0.33,1.78,No,Yes,Yes,No,No,No,56,Female,Separated,1,1,No,NTFP,41870,Yes,Pucca,Yes,Tap,Yes,Yes,Upper Primary,Yes
Lakshmi Bhil,3.57E+11,9043501445,Meena Kumar,Anita Verma,"House 188, Sheopur Pada",Baiga Chak,GP Ghughri,Pati,Alirajpur,ST,Arjun Yadav,1,0.06,3.46,Yes,No,No,No,Yes,Yes,66,Male,Separated,6,2,Yes,NTFP,105918,No,Semi-Pucca,Yes,None,No,Yes,Primary,No
Anita Nayak,6.71E+11,6690860533,Anita Verma,Meena Kumar,"House 131, Alirajpur Falia",Gondwadi,GP Jobat,Sendhwa,Jhabua,ST,Arjun Bai,86,0.19,1.96,Yes,Yes,No,No,Yes,No,19,Female,Single,9,1,No,Other,102882,Yes,Pucca,Yes,None,No,No,None,No
Vikas Rathore,4.95E+11,6268217920,Sunita Yadav,Kavita Das,"House 221, Jhabua Kheda",Barwani Tola,GP Bajag,Niwas,Jhabua,ST,Sunita Verma,70,0.69,1.74,Yes,Yes,Yes,Yes,No,No,33,Other,Separated,4,0,Yes,Wage Labour,133453,Yes,Pucca,Yes,Tap,No,No,Higher Secondary,No
Vikas Naidu,3.55E+11,8717251348,Sunita Verma,Mahesh Gond,"House 281, Mandla Pur",Korku Pada,GP Ghughri,Ghughri,Umaria,ST,Arjun Naidu,30,0.99,2.11,Yes,No,No,Yes,No,Yes,65,Other,Married,9,2,No,Agriculture,136074,Yes,Pucca,Yes,Tap,Yes,Yes,Higher Secondary,Yes
Pooja Kumar,1.40E+11,6151014136,Kavita Rathore,Kavita Kumar,"House 277, Dindori Gaon",Sheopur Pada,GP Bajag,Bajag,Alirajpur,ST,Amit Kumar,55,0.33,1.52,No,Yes,Yes,Yes,No,No,62,Other,Separated,7,2,No,Other,143079,No,Semi-Pucca,Yes,Handpump,Yes,Yes,Higher Secondary,Yes
Mahesh Gaikwad,6.56E+11,6225316099,Vikas Bhil,Arjun Singh,"House 140, Korku Pada",Mandla Pur,GP Pati,Sendhwa,Barwani,ST,Mahesh Bai,77,0.8,2.06,No,No,No,No,No,Yes,43,Other,Separated,1,1,No,Agriculture,145392,Yes,Pucca,Yes,Stream,Yes,Yes,None,Yes
Kavita Kumar,1.46E+11,6723306626,Mahesh Nayak,Ravi Nayak,"House 54, Mandla Pur",Gondwadi,GP Pushparajgarh,Bajag,Mandla,ST,Arjun Nayak,86,0.87,0.54,No,Yes,Yes,No,No,Yes,28,Male,Separated,6,1,Yes,NTFP,95263,Yes,Semi-Pucca,No,None,Yes,Yes,None,No
Anita Sahu,3.38E+11,7259568240,Neha Kumar,Amit Kumar,"House 1, Korku Pada",Gondwadi,GP Pati,Bajag,Alirajpur,ST,Ravi Nayak,6,0.06,3.87,No,Yes,Yes,Yes,Yes,No,72,Other,Single,2,2,Yes,Wage Labour,63566,Yes,Semi-Pucca,Yes,None,Yes,Yes,None,No
Kavita Nayak,9.61E+11,9126117149,Neha Bai,Pooja Verma,"House 128, Gondwadi",Barwani Tola,GP Ghughri,Ghughri,Jhabua,ST,Lakshmi Das,24,0.92,0.14,Yes,No,Yes,Yes,Yes,No,30,Other,Married,8,0,Yes,NTFP,68229,Yes,Pucca,Yes,None,No,Yes,Higher Secondary,No
Arjun Singh,4.53E+11,9956345630,Anita Singh,Sunita Bhil,"House 1, Mandla Pur",Gondwadi,GP Pati,Pali,Alirajpur,ST,Mahesh Yadav,85,0.47,1.93,No,No,Yes,Yes,Yes,Yes,44,Male,Single,7,0,No,NTFP,67366,Yes,Pucca,Yes,None,Yes,No,Graduation,No
Neha Rathore,5.21E+11,6789152673,Suresh Rathore,Vikas Bai,"House 173, Korku Pada",Gondwadi,GP Jobat,Pali,Mandla,ST,Pooja Das,87,0.96,0.84,Yes,No,Yes,No,No,Yes,79,Female,Married,7,1,Yes,Other,134313,Yes,Pucca,Yes,Tap,No,Yes,Upper Primary,No
Sunita Gond,4.13E+11,6737579730,Neha Das,Vikas Das,"House 266, Korku Pada",Gondwadi,GP Niwas,Pali,Anuppur,ST,Suresh Nayak,5,0.54,0.23,No,Yes,No,No,Yes,Yes,29,Female,Widowed,4,0,Yes,Wage Labour,56646,Yes,Kutcha,Yes,Tap,Yes,No,Upper Primary,No
Pooja Singh,9.13E+11,8196818963,Amit Bai,Anita Yadav,"House 296, Bhilapur",Mandla Pur,GP Jobat,Pati,Sheopur,ST,Ravi Das,7,0.24,2.61,No,Yes,Yes,Yes,No,Yes,80,Male,Separated,1,1,Yes,Agriculture,105574,Yes,Pucca,No,Stream,No,Yes,Primary,No
Meena Singh,5.90E+11,6280332502,Ramesh Gond,Neha Das,"House 256, Sheopur Pada",Baiga Chak,GP Pushparajgarh,Niwas,Barwani,ST,Ravi Verma,3,0.97,3.94,Yes,No,No,Yes,No,Yes,20,Other,Widowed,7,1,No,NTFP,24785,Yes,Pucca,Yes,Stream,No,Yes,Higher Secondary,Yes
Vikas Nayak,4.42E+11,6400549173,Kavita Nayak,Vikas Gaikwad,"House 174, Jhabua Kheda",Dindori Gaon,GP Jobat,Jobat,Alirajpur,ST,Lakshmi Rathore,13,0.25,3,No,No,Yes,No,Yes,Yes,21,Other,Married,5,1,No,Agriculture,112419,No,Pucca,No,Tap,Yes,No,Higher Secondary,Yes
Neha Yadav,1.16E+11,7905583354,Ramesh Yadav,Vikas Nayak,"House 45, Mandla Pur",Gondwadi,GP Jobat,Sendhwa,Anuppur,OTFD,Mahesh Rathore,54,0.88,1.02,Yes,No,No,Yes,Yes,No,32,Male,Married,5,0,No,Other,107872,Yes,Semi-Pucca,Yes,Stream,Yes,Yes,Secondary,No
Neha Kumar,5.39E+11,9955175911,Kavita Naidu,Pooja Verma,"House 141, Bhilapur",Jhabua Kheda,GP Niwas,Bajag,Dindori,ST,Ramesh Das,63,0.18,1.97,No,Yes,Yes,No,Yes,Yes,64,Female,Widowed,9,0,Yes,Other,119607,Yes,Kutcha,Yes,Stream,Yes,No,None,No
Sunita Singh,1.70E+11,9653377405,Lakshmi Bai,Pooja Nayak,"House 27, Gondwadi",Korku Pada,GP Ghughri,Sendhwa,Umaria,ST,Neha Naidu,76,0.68,0.2,Yes,Yes,Yes,Yes,Yes,Yes,41,Other,Married,3,0,Yes,Wage Labour,145588,Yes,Pucca,No,Stream,No,Yes,Secondary,Yes
Ravi Singh,5.39E+11,7477299608,Anita Yadav,Anita Yadav,"House 233, Dindori Gaon",Barwani Tola,GP Jobat,Pati,Barwani,ST,Mahesh Das,6,0.42,2.13,No,Yes,Yes,No,Yes,Yes,58,Female,Widowed,5,1,No,Agriculture,118155,Yes,Kutcha,Yes,None,No,Yes,Higher Secondary,No
Mahesh Gaikwad,3.20E+11,6329305358,Ramesh Bai,Amit Verma,"House 209, Baiga Chak",Alirajpur Falia,GP Pushparajgarh,Pati,Mandla,ST,Arjun Bhil,79,0.97,0.4,Yes,Yes,No,No,No,No,87,Female,Widowed,2,0,No,Other,116677,Yes,Kutcha,No,Handpump,Yes,Yes,Graduation,No
Lakshmi Bai,3.22E+11,9900397477,Meena Bai,Sunita Nayak,"House 50, Mandla Pur",Korku Pada,GP Niwas,Pali,Anuppur,ST,Anita Gond,47,0.19,3.18,No,No,Yes,No,No,No,33,Male,Married,5,0,Yes,Agriculture,68901,Yes,Kutcha,Yes,Handpump,Yes,No,Graduation,No
Arjun Nayak,6.32E+11,7527012758,Mahesh Naidu,Meena Bai,"House 61, Baiga Chak",Jhabua Kheda,GP Bajag,Sendhwa,Anuppur,ST,Pooja Sahu,82,0.41,0.23,No,No,No,No,Yes,No,74,Other,Married,5,2,No,Wage Labour,142908,No,Pucca,Yes,Tap,No,No,Graduation,No
Ravi Naidu,3.70E+11,9864503489,Mahesh Nayak,Ramesh Yadav,"House 243, Sheopur Pada",Gondwadi,GP Bajag,Jobat,Barwani,ST,Mahesh Sahu,55,0.64,0.04,Yes,No,No,No,No,Yes,58,Male,Separated,2,1,Yes,NTFP,84950,No,Semi-Pucca,Yes,Tap,Yes,Yes,Upper Primary,No
Suresh Das,5.96E+11,6026322360,Arjun Gaikwad,Ravi Nayak,"House 269, Bhilapur",Bhilapur,GP Pati,Pati,Umaria,ST,Amit Rathore,49,0.98,3.45,No,No,No,No,Yes,No,64,Other,Married,9,2,No,Wage Labour,98657,Yes,Semi-Pucca,Yes,None,No,No,Higher Secondary,No
Amit Gond,3.65E+11,6507474232,Vikas Rathore,Amit Sahu,"House 140, Korku Pada",Mandla Pur,GP Jobat,Bajag,Barwani,OTFD,Suresh Rathore,57,0.31,3.77,Yes,No,No,No,No,Yes,63,Female,Widowed,3,1,Yes,Wage Labour,57586,No,Semi-Pucca,Yes,None,Yes,No,Higher Secondary,No
Sunita Das,1.28E+11,7993445454,Kavita Gond,Kavita Biswas,"House 157, Korku Pada",Gondwadi,GP Niwas,Pati,Alirajpur,ST,Amit Gond,3,0.4,0.35,No,No,Yes,No,Yes,No,79,Male,Single,1,2,Yes,NTFP,30996,Yes,Pucca,No,Handpump,Yes,Yes,Graduation,No
Mahesh Gond,4.93E+11,7334311091,Vikas Yadav,Kavita Bai,"House 85, Mandla Pur",Mandla Pur,GP Ghughri,Ghughri,Barwani,ST,Neha Biswas,22,0.47,1.12,Yes,No,No,No,Yes,Yes,53,Other,Widowed,4,1,Yes,Wage Labour,103365,Yes,Kutcha,No,Tap,No,Yes,Primary,No
Ravi Biswas,1.57E+11,6105896939,Sunita Rathore,Vikas Bhil,"House 84, Jhabua Kheda",Barwani Tola,GP Pati,Pati,Sheopur,ST,Mahesh Naidu,35,0.26,2.97,Yes,No,Yes,Yes,No,No,47,Male,Single,4,0,No,Agriculture,104142,No,Semi-Pucca,Yes,Stream,Yes,No,Secondary,Yes
Sunita Kumar,4.69E+11,9343291042,Ravi Sahu,Amit Bhil,"House 276, Alirajpur Falia",Bhilapur,GP Niwas,Jobat,Barwani,ST,Lakshmi Kumar,28,0.82,2.16,No,No,No,No,Yes,No,32,Male,Widowed,5,2,No,Other,82859,Yes,Kutcha,Yes,Tap,No,Yes,Upper Primary,Yes
Sunita Gond,6.55E+11,9902805705,Ramesh Gond,Neha Kumar,"House 31, Bhilapur",Jhabua Kheda,GP Pati,Bajag,Mandla,ST,Suresh Gond,42,0.1,3.8,No,Yes,No,Yes,No,Yes,35,Male,Separated,3,1,No,Other,100272,Yes,Pucca,Yes,None,No,Yes,None,No
Mahesh Biswas,4.38E+11,8333073421,Lakshmi Bhil,Meena Gaikwad,"House 8, Sheopur Pada",Dindori Gaon,GP Niwas,Pati,Umaria,ST,Sunita Yadav,12,0.71,1.56,No,No,No,Yes,No,Yes,46,Other,Married,8,1,Yes,NTFP,56849,Yes,Semi-Pucca,Yes,Stream,No,No,Graduation,No
Pooja Singh,6.91E+11,8226543450,Vikas Nayak,Pooja Singh,"House 280, Jhabua Kheda",Baiga Chak,GP Jobat,Pati,Umaria,ST,Sunita Naidu,1,0.54,0.01,No,Yes,Yes,No,No,No,75,Female,Widowed,7,0,No,Wage Labour,114617,Yes,Semi-Pucca,Yes,Tap,No,No,Graduation,No
Mahesh Gond,3.46E+11,9574843637,Suresh Yadav,Lakshmi Singh,"House 203, Dindori Gaon",Barwani Tola,GP Pati,Sendhwa,Barwani,ST,Meena Rathore,23,0.25,0.08,No,No,Yes,Yes,No,Yes,39,Other,Separated,1,1,No,Agriculture,117580,Yes,Semi-Pucca,Yes,Tap,No,No,Primary,No
Pooja Bhil,8.16E+11,6321882109,Amit Biswas,Meena Bhil,"House 33, Jhabua Kheda",Barwani Tola,GP Ghughri,Sendhwa,Anuppur,ST,Kavita Rathore,28,0.5,2.26,Yes,Yes,No,No,No,Yes,72,Female,Married,1,1,No,Agriculture,73460,No,Pucca,No,None,Yes,No,None,Yes
Pooja Gaikwad,3.76E+11,6479298573,Ramesh Bai,Pooja Kumar,"House 298, Alirajpur Falia",Korku Pada,GP Niwas,Pali,Barwani,ST,Neha Singh,69,0.83,3.01,No,No,Yes,Yes,Yes,No,40,Male,Single,8,1,Yes,NTFP,133049,Yes,Pucca,Yes,Tap,Yes,No,Graduation,No
Neha Biswas,4.48E+11,6473634914,Amit Biswas,Kavita Gond,"House 143, Gondwadi",Gondwadi,GP Jobat,Bajag,Alirajpur,ST,Kavita Biswas,36,0.45,3.16,No,Yes,No,Yes,No,Yes,61,Female,Married,5,1,No,Other,49716,Yes,Kutcha,Yes,Stream,No,No,Primary,No
Ramesh Naidu,8.39E+11,9953750048,Anita Yadav,Mahesh Sahu,"House 37, Gondwadi",Bhilapur,GP Pati,Jobat,Mandla,ST,Amit Naidu,54,0.13,3.65,Yes,No,No,No,Yes,Yes,87,Male,Married,2,0,No,Wage Labour,59723,Yes,Pucca,No,Tap,No,No,Higher Secondary,No
Neha Yadav,8.02E+11,7647158707,Arjun Bhil,Ramesh Verma,"House 147, Mandla Pur",Dindori Gaon,GP Pushparajgarh,Sendhwa,Anuppur,OTFD,Neha Nayak,47,0.05,0.92,Yes,Yes,No,Yes,Yes,Yes,77,Other,Married,8,0,Yes,Agriculture,70601,Yes,Pucca,Yes,Handpump,Yes,No,Upper Primary,Yes
Suresh Yadav,9.06E+11,6667064338,Suresh Biswas,Arjun Biswas,"House 228, Korku Pada",Korku Pada,GP Bajag,Jobat,Mandla,ST,Ramesh Sahu,56,0.78,2.95,No,Yes,Yes,Yes,Yes,Yes,22,Male,Widowed,8,1,No,Agriculture,99220,Yes,Semi-Pucca,No,Tap,No,Yes,Primary,Yes
Kavita Rathore,9.18E+11,8976022167,Arjun Nayak,Amit Das,"House 34, Jhabua Kheda",Dindori Gaon,GP Pushparajgarh,Bajag,Dindori,ST,Ravi Bai,10,0.34,3.31,Yes,Yes,No,Yes,Yes,No,51,Female,Married,7,1,No,NTFP,115316,Yes,Semi-Pucca,Yes,Handpump,Yes,No,Graduation,No
Pooja Das,3.20E+11,6145493993,Neha Singh,Suresh Yadav,"House 237, Korku Pada",Gondwadi,GP Pushparajgarh,Pati,Barwani,ST,Sunita Gaikwad,5,0.93,3.35,Yes,No,Yes,No,Yes,Yes,29,Female,Widowed,7,0,No,Wage Labour,105069,Yes,Pucca,No,Stream,No,Yes,None,Yes
Kavita Bai,8.82E+11,9726394627,Vikas Bai,Ravi Yadav,"House 212, Bhilapur",Baiga Chak,GP Pushparajgarh,Niwas,Mandla,ST,Meena Gond,14,0.62,1.65,Yes,No,No,No,No,No,84,Male,Separated,2,1,Yes,Wage Labour,63298,Yes,Kutcha,Yes,None,No,Yes,Graduation,Yes
Meena Biswas,2.08E+11,7573919308,Mahesh Nayak,Vikas Bhil,"House 140, Korku Pada",Baiga Chak,GP Pushparajgarh,Niwas,Mandla,OTFD,Anita Naidu,24,0.44,2.5,No,Yes,No,Yes,Yes,Yes,58,Female,Single,4,0,Yes,Agriculture,106645,No,Semi-Pucca,Yes,Stream,Yes,No,Upper Primary,No
Vikas Biswas,9.41E+11,8071254841,Ramesh Gond,Kavita Singh,"House 190, Gondwadi",Bhilapur,GP Pushparajgarh,Niwas,Jhabua,ST,Mahesh Biswas,63,0.57,2.21,No,Yes,Yes,No,Yes,Yes,25,Other,Widowed,9,0,No,Agriculture,104751,Yes,Pucca,Yes,None,Yes,No,Higher Secondary,No
Kavita Yadav,3.20E+11,6185601439,Lakshmi Biswas,Pooja Kumar,"House 96, Bhilapur",Dindori Gaon,GP Pati,Niwas,Mandla,ST,Ramesh Bai,28,0.46,2.39,No,No,Yes,No,Yes,Yes,19,Female,Single,9,2,No,NTFP,65452,Yes,Pucca,Yes,Handpump,No,Yes,None,No
Anita Gond,8.72E+11,8457045128,Ravi Das,Suresh Nayak,"House 194, Gondwadi",Baiga Chak,GP Niwas,Pali,Anuppur,ST,Mahesh Kumar,21,0.91,1.13,No,Yes,Yes,No,Yes,No,75,Male,Married,2,1,No,Agriculture,95119,No,Pucca,Yes,Tap,No,No,None,Yes
Sunita Das,8.10E+11,8645290703,Sunita Gaikwad,Anita Singh,"House 296, Mandla Pur",Barwani Tola,GP Niwas,Pati,Alirajpur,ST,Kavita Verma,76,0.46,2.73,Yes,Yes,Yes,No,Yes,Yes,54,Male,Separated,2,0,Yes,NTFP,68932,No,Pucca,No,Handpump,Yes,No,None,Yes
Kavita Das,1.90E+11,6073757425,Sunita Verma,Mahesh Nayak,"House 152, Mandla Pur",Bhilapur,GP Pushparajgarh,Jobat,Barwani,ST,Arjun Kumar,20,0.11,2.84,Yes,No,No,Yes,No,No,77,Female,Married,2,2,Yes,Wage Labour,126429,Yes,Pucca,No,Stream,No,No,Upper Primary,No
